,stock,date,price,earnings_date,fiscal_date_ending,reported_eps,estimated_eps,surprise_percentage,sector,sub_sector,market_cap,beta,daily,drift_60d,vol_10d,vol_30d,vol_ratio_10_to_30,mom_5d,mom_20d,sector_drift_60d,sector_vol_10d,sector_vol_30d
18,AAPL,2025-01-30,236.520263671875,2025-01-30,2024-12-31,,,,Technology,Consumer Electronics,3665126490112,1.093,-0.0073948182865472,,0.024551394145795585,,,0.06824706360809385,,,0.021950915758333668,
81,AAPL,2025-05-01,212.59304809570312,2025-05-01,2025-03-31,1.65,1.62,0.018519,Technology,Consumer Electronics,3665126490112,1.093,0.0038588679064202047,-0.000657294063281109,0.02109761405070738,0.04217033171533269,0.5002951884069841,0.038102338242616884,-0.024970439527375876,-0.0009767712567270751,0.021492042612725963,0.03401053561760245
143,AAPL,2025-07-31,207.1339111328125,2025-07-31,2025-06-30,1.57,1.43,0.097902,Technology,Consumer Electronics,3665126490112,1.093,-0.007079609380583052,0.00041740382236650037,0.006933303684915511,0.00985213506908436,0.7037361583350562,-0.023960410396708265,0.006658435816822017,0.0015721386103879694,0.006235788076543083,0.008432163936892069
207,AAPL,2025-10-30,271.1371459960937,2025-10-30,2025-09-30,1.85,1.76,0.051136,Technology,Consumer Electronics,3665126490112,1.093,0.006303226049785282,0.004911009245970762,0.016097528412165822,0.016126337770986553,0.998213521307202,0.04295423285595246,0.05660394565102744,0.002551495075378797,0.011579563438695881,0.0126974695838874
