stock,sector,sub_sector,market_cap_log,beta
CTRA,Energy,Oil & Gas E&P,23.762034108497186,0.333
CTAS,Industrials,Specialty Business Services,25.07755116399833,0.972
CTSH,Technology,Information Technology Services,24.455621110701593,0.954
CTVA,Basic Materials,Agricultural Inputs,24.61585750506652,0.745
CVNA,Consumer Cyclical,Auto & Truck Dealerships,25.369537039823594,3.553
CVS,Healthcare,Healthcare Plans,25.379350197529224,0.484
D,Utilities,Utilities - Regulated Electric,24.667404874173933,0.699
CVX,Energy,Oil & Gas Integrated,26.54286794145349,0.687
DAL,Industrials,Airlines,24.50930640555497,1.379
DASH,Consumer Cyclical,Internet Retail,25.233520713766506,1.702
DAY,Technology,Software - Application,23.130789775908113,1.181
DE,Industrials,Farm & Heavy Construction Machinery,25.66324508616358,1.01
DDOG,Technology,Software - Application,24.588527795880726,1.263
DD,Basic Materials,Specialty Chemicals,23.644758640224257,1.113
DECK,Consumer Cyclical,Footwear & Accessories,23.43204011930517,1.15
DELL,Technology,Computer Hardware,25.08252213443414,1.112
DG,Consumer Defensive,Discount Stores,24.227222876566334,0.262
DHI,Consumer Cyclical,Residential Construction,24.501609576142986,1.42
DGX,Healthcare,Diagnostics & Research,23.73484384352734,0.64
DHR,Healthcare,Diagnostics & Research,25.854788021400392,0.929
DLTR,Consumer Defensive,Discount Stores,23.980019442868873,0.749
DLR,Real Estate,REIT - Specialty,24.757971475924915,1.125
DOC,Real Estate,REIT - Healthcare Facilities,23.23150135488856,1.1
DIS,Communication Services,Entertainment,26.01740860372551,1.442
DOV,Industrials,Specialty Industrial Machinery,24.066861224048296,1.305
DOW,Basic Materials,Chemicals,23.727039928231143,0.776
DPZ,Consumer Cyclical,Restaurants,23.36205820803469,1.158
DTE,Utilities,Utilities - Regulated Electric,24.059978351356044,0.484
DRI,Consumer Cyclical,Restaurants,23.852184458003702,0.636
DUK,Utilities,Utilities - Regulated Electric,25.248232329503455,0.49
DVN,Energy,Oil & Gas E&P,23.912441040262784,0.655
DVA,Healthcare,Medical Care Facilities,22.76037057068859,0.99
DXCM,Healthcare,Medical Devices,24.07474703221287,1.483
EA,Communication Services,Electronic Gaming & Multimedia,24.657719342414065,0.733
EBAY,Consumer Cyclical,Internet Retail,24.49259605823551,1.348
ECL,Basic Materials,Specialty Chemicals,25.107478675334512,0.999
ED,Utilities,Utilities - Regulated Electric,24.355309246712594,0.379
EFX,Industrials,Consulting Services,23.994830333186723,1.558
EG,Financial Services,Insurance - Reinsurance,23.337036406300523,0.369
EIX,Utilities,Utilities - Regulated Electric,23.88752243641364,0.829
EL,Consumer Defensive,Household & Personal Products,24.467860940883313,1.146
EMR,Industrials,Specialty Industrial Machinery,25.149221639505786,1.254
ELV,Healthcare,Healthcare Plans,25.15287502539791,0.518
EME,Industrials,Engineering & Construction,24.16933590053404,1.174
EOG,Energy,Oil & Gas E&P,24.78832606908004,0.501
EPAM,Technology,Information Technology Services,23.2281992980498,1.727
EQIX,Real Estate,REIT - Specialty,25.085936869897292,1.036
EQT,Energy,Oil & Gas E&P,24.282460140611125,0.681
EQR,Real Estate,REIT - Residential,23.91058249058122,0.756
ERIE,Financial Services,Insurance Brokers,23.39701637127357,0.373
ES,Utilities,Utilities - Regulated Electric,23.992118663965517,0.772
ESS,Real Estate,REIT - Residential,23.579660976441414,0.741
ETN,Industrials,Specialty Industrial Machinery,25.577254438071378,1.19
EVRG,Utilities,Utilities - Regulated Electric,23.587816361243494,0.646
ETR,Utilities,Utilities - Regulated Electric,24.467141468506668,0.648
EW,Healthcare,Medical Devices,24.622474487794857,0.955
EXC,Utilities,Utilities - Regulated Electric,24.52610509145803,0.556
EXE,Energy,Oil & Gas E&P,24.00975686590548,0.449
EXPD,Industrials,Integrated Freight & Logistics,23.794179886720123,1.136
EXPE,Consumer Cyclical,Travel Services,24.232547241351746,1.429
EXR,Real Estate,REIT - Industrial,24.161669678874834,1.273
F,Consumer Cyclical,Auto Manufacturers,24.697942503478988,1.631
FAST,Industrials,Industrial Distribution,24.63559122481238,0.895
FCX,Basic Materials,Copper,25.22932417756431,1.452
FANG,Energy,Oil & Gas E&P,24.507169408134448,0.577
FDX,Industrials,Integrated Freight & Logistics,24.995243292449615,1.357
FDS,Financial Services,Financial Data & Stock Exchanges,23.09482424283614,0.743
FE,Utilities,Utilities - Regulated Electric,24.01578416446564,0.626
FFIV,Technology,Software - Infrastructure,23.45639676705191,0.975
FICO,Technology,Software - Application,24.32918120885792,1.293
FISV,,,24.319895705415842,
FITB,Financial Services,Banks - Regional,24.230843936882685,0.988
FIX,Industrials,Engineering & Construction,24.400844402278253,1.664
FIS,Technology,Information Technology Services,24.160551498503732,0.939
FOX,Communication Services,Entertainment,24.151928044898654,0.505
FOXA,Communication Services,Entertainment,24.19850986591053,0.505
