stock,sector,sub_sector,market_cap_log,beta
MAR,Consumer Cyclical,Lodging,25.173301730772533,1.157
MAS,Industrials,Building Products & Equipment,23.38320002227009,1.277
MCD,Consumer Cyclical,Restaurants,26.125600078439252,0.531
MCK,Healthcare,Medical Distribution,25.35157614346174,0.409
MCHP,Technology,Semiconductors,24.41305245066662,1.445
MDT,Healthcare,Medical Devices,25.59257123871085,0.729
MCO,Financial Services,Financial Data & Stock Exchanges,25.27075983102356,1.453
MDLZ,Consumer Defensive,Confectioners,25.04226663960475,0.402
MET,Financial Services,Insurance - Life,24.649354145401666,0.756
META,Communication Services,Internet Content & Information,28.1605189877033,1.287
MLM,Basic Materials,Building Materials,24.38854314034026,1.156
MGM,Consumer Cyclical,Resorts & Casinos,22.95172461226461,1.461
MKC,Consumer Defensive,Packaged Foods,23.51654319386189,0.617
MNST,Consumer Defensive,Beverages - Non - Alcoholic,25.112514102361168,0.46
MMM,Industrials,Conglomerates,25.166120083844547,1.159
MOH,Healthcare,Healthcare Plans,23.11199374850907,0.491
MOS,Basic Materials,Agricultural Inputs,22.920501507554434,0.945
MO,Consumer Defensive,Tobacco,25.378440454839524,0.501
MPWR,Technology,Semiconductors,24.656712823115605,1.456
MPC,Energy,Oil & Gas Refining & Marketing,24.685044274922536,0.732
MRK,Healthcare,Drug Manufacturers - General,26.315415840465832,0.298
MRNA,Healthcare,Biotechnology,23.644897708041107,1.174
MRSH,Financial Services,Insurance Brokers,25.224021588311956,0.752
MSCI,Financial Services,Financial Data & Stock Exchanges,24.551516367492148,1.303
MS,Financial Services,Capital Markets,26.38804130188939,1.197
MSI,Technology,Communication Equipment,24.922731659327024,1.005
MSFT,Technology,Software - Infrastructure,28.88976026902932,1.073
MTB,Financial Services,Banks - Regional,24.23838028697478,0.583
MTD,Healthcare,Diagnostics & Research,24.099723405330927,1.417
NCLH,Consumer Cyclical,Travel Services,22.9744468487847,2.083
MTCH,Communication Services,Internet Content & Information,22.756946005435104,1.334
NDAQ,Financial Services,Financial Data & Stock Exchanges,24.763105026101535,1.019
MU,Technology,Semiconductors,26.806621986521613,1.503
NDSN,Industrials,Specialty Industrial Machinery,23.43775604806382,1.025
NEE,Utilities,Utilities - Regulated Electric,25.905462416896295,0.733
NEM,Basic Materials,Gold,25.675400008737732,0.422
NFLX,Communication Services,Entertainment,26.620556039201254,1.711
NI,Utilities,Utilities - Regulated Gas,23.753931887861132,0.651
NKE,Consumer Cyclical,Footwear & Accessories,25.29195216773287,1.284
NOW,Technology,Software - Application,25.68465841623164,0.979
NRG,Utilities,Utilities - Independent Power Producers,24.089998431932035,1.242
NOC,Industrials,Aerospace & Defense,25.275586617549795,0.049
NSC,Industrials,Railroads,24.88986042209825,1.327
NTAP,Technology,Software - Infrastructure,23.707138857117418,1.374
